gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
GCN5:RFX1:SPT3,trigenic,C140,0.45070823123569004,1.5694233065861356,0.0028006206776616913,True,0.14969108479126314
GCN5:RFX1:YAP6,trigenic,C140,0.5259106423972444,1.6919989530130801,0.0005027561332219889,True,0.14969108479126322
GCN5:RFX1:TFC7,trigenic,C140,1.2358124910286623,3.441173307622245,3.437139241418107e-15,True,0.14969108479126322
GCN5:RGR1:RPD3,trigenic,C140,0.9314762794845028,2.5382535847357137,1.4459761500159243e-09,True,0.14969108479126297
GCN5:RGR1:SPT3,trigenic,C140,0.5944573671969551,1.8120474017720178,8.739944031397556e-05,True,0.1496910847912633
GCN5:RGR1:YAP6,trigenic,C140,0.6692286512838508,1.9527305034030955,1.0655180710486225e-05,True,0.14969108479126328
GCN5:RGR1:TFC7,trigenic,C140,1.3838336986285666,3.990169449827959,1.9324720326583943e-17,True,0.1541057191051116
GCN5:RPD3:SPT3,trigenic,C140,0.2992717609846195,1.3488761455769027,0.04638016953477178,True,0.14969108479126328
GCN5:RPD3:YAP6,trigenic,C140,0.393694436326791,1.4824474973576338,0.008927821813821318,True,0.14969108479126328
GCN5:RPD3:TFC7,trigenic,C140,0.34993964622323137,1.4189819050916903,0.019983452724639732,True,0.14969108479126322
GCN5:SPT3:YAP6,trigenic,C140,0.3562881146836253,1.428018922219547,0.017859317391446066,True,0.14969108479126328
GCN5:SPT3:TFC7,trigenic,C140,1.0484681569586902,2.8532769961728963,1.3485770390087116e-11,True,0.1496910847912632
GCN5:YAP6:TFC7,trigenic,C140,1.0886265315776513,2.97019180511944,2.4749521959501412e-12,True,0.1496910847912633
MED4:OPI1:RFX1,trigenic,C140,2.337599476337259,10.356346045804587,1.0960938954589913e-43,True,0.14519626529966906
MED4:OPI1:RGR1,trigenic,C140,2.2682035230557247,9.662027603634382,8.602173367839777e-42,True,0.145196265299669
MED4:OPI1:RPD3,trigenic,C140,2.170513808892813,8.762785281256424,3.858123523518942e-39,True,0.14519626529966895
MED4:OPI1:SPT3,trigenic,C140,1.956057745644931,7.071394806325925,2.077624509022228e-33,True,0.145196265299669
