gene,released_label,call,fcl_rf_e_class,cgt_predicted_z
YBR084W,2,only_rf,1.1207258064516128,-0.27966150641441345
YDL142C,2,only_rf,1.0908870967741937,-0.11125092953443527
YDR017C,2,only_rf,1.1060483870967743,0.01984686776995659
YEL024W,2,only_rf,1.355,-0.2967507839202881
YFR033C,2,only_rf,1.3525,-0.3660431504249573
YGR061C,2,only_rf,1.0991129032258065,-0.5176148414611816
YGR204W,2,only_rf,1.0806451612903225,-0.25937819480895996
YGR255C,2,only_rf,1.8754032258064517,-0.08437860757112503
YJR121W,2,only_rf,1.9811290322580646,-0.19462884962558746
YLR146C,2,only_rf,1.1331451612903225,-0.06294399499893188
YML110C,2,only_rf,1.9155645161290322,-0.08378539234399796
YMR300C,2,only_rf,1.2451612903225806,-0.290022075176239
YNL169C,2,only_rf,1.1049193548387095,-0.08536301553249359
YNL277W,2,only_rf,1.119758064516129,-0.251583456993103
YOL096C,2,only_rf,1.9016935483870967,-0.3039216995239258
YOR125C,2,only_rf,1.8598387096774194,-0.0010164380073547363
YPR191W,2,only_rf,1.352741935483871,-0.030366208404302597
