gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,in_betaxanthin,is_tier1,overlap_score,is_essential,is_low_fitness,min_fitness,is_selected,selection_reason,num_sources
YGL023C,True,True,False,False,False,False,2,False,True,0.8618,False,excluded_low_fitness,2
YGL024W,True,False,False,False,False,False,1,False,True,0.3555,False,excluded_low_fitness,1
YGL025C,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YGL026C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL027C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL028C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL029W,True,True,False,False,False,False,2,False,True,0.7465,False,excluded_low_fitness,2
YGL031C,True,False,False,False,False,False,1,False,True,0.796,False,excluded_low_fitness,1
YGL032C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL033W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL034C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL035C,True,True,True,False,False,True,2,False,False,,True,tier1,3
YGL036W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL037C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL038C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL039W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL040C,False,False,False,True,False,False,1,True,False,,False,excluded_essential,1
YGL041C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL042C,True,False,False,False,False,False,1,False,True,0.8385,False,excluded_low_fitness,1
YGL043W,True,True,False,False,False,False,2,False,True,0.7255,False,excluded_low_fitness,2
YGL047W,False,False,False,True,False,False,1,True,False,,False,excluded_essential,1
YGL049C,True,False,False,False,False,False,1,False,True,0.668,False,excluded_low_fitness,1
YGL050W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL051W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL053W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL054C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL055W,False,False,False,True,False,False,1,True,True,0.8016,False,excluded_essential,1
YGL056C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL057C,True,False,False,False,False,False,1,False,True,0.8617,False,excluded_low_fitness,1
YGL058W,True,True,False,False,False,False,2,False,True,0.3575,False,excluded_low_fitness,2
YGL059W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL060W,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YGL062W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL063W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL064C,True,False,False,False,False,False,1,False,True,0.5125,False,excluded_low_fitness,1
YGL065C,False,False,False,True,False,False,1,True,True,0.7083,False,excluded_essential,1
YGL066W,True,True,False,False,False,False,2,False,True,0.7275,False,excluded_low_fitness,2
YGL067W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL070C,True,True,False,False,False,False,2,False,True,0.218,False,excluded_low_fitness,2
YGL071W,True,True,False,False,False,False,2,False,True,0.635,False,excluded_low_fitness,2
YGL072C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL076C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL077C,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL078C,True,True,False,False,False,False,2,False,True,0.7845,False,excluded_low_fitness,2
YGL079W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL080W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL081W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL082W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL083W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL084C,True,False,False,True,False,False,2,False,True,0.8472,False,excluded_low_fitness,2
YGL085W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL086W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL087C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL088W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL089C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL090W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL094C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL095C,True,False,False,False,False,False,1,False,True,0.4545,False,excluded_low_fitness,1
YGL096W,True,False,True,False,False,True,1,False,False,,True,tier1,2
YGL100W,False,True,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL101W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YGL104C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL105W,True,False,False,False,False,False,1,False,True,0.475,False,excluded_low_fitness,1
YGL107C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL108C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL109W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL110C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL114W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL115W,True,True,False,False,False,False,2,False,True,0.8992,False,excluded_low_fitness,2
YGL117W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL118C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL119W,False,False,False,True,False,False,1,False,True,0.8165,False,excluded_low_fitness,1
YGL121C,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YGL124C,True,False,False,False,False,False,1,False,True,0.7298,False,excluded_low_fitness,1
YGL125W,True,True,False,True,False,False,3,False,False,,True,score>=2,3
YGL126W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YGL127C,True,True,False,False,False,False,2,False,True,0.471,False,excluded_low_fitness,2
