component,singular_value,cumulative_variance
966,4.5591245,0.9862602
967,4.5582523,0.9863029
968,4.553551,0.98634565
969,4.552298,0.98638827
970,4.548629,0.9864308
971,4.5453644,0.9864733
972,4.541973,0.98651576
973,4.534537,0.9865581
974,4.5309978,0.98660034
975,4.528249,0.9866425
976,4.5188127,0.9866845
977,4.515982,0.98672646
978,4.5143585,0.98676836
979,4.5131803,0.9868103
980,4.50439,0.98685205
981,4.5012445,0.9868937
982,4.498644,0.9869354
983,4.4955077,0.986977
984,4.4916716,0.9870185
985,4.488044,0.98706
986,4.4826875,0.9871013
987,4.4802756,0.9871426
988,4.477799,0.98718387
989,4.4705334,0.98722506
990,4.4686475,0.9872661
991,4.463887,0.98730713
992,4.456321,0.987348
993,4.4538093,0.98738885
994,4.450169,0.98742956
995,4.4458857,0.98747027
996,4.4425426,0.9875109
997,4.43854,0.98755145
998,4.435506,0.9875919
999,4.4302826,0.98763233
1000,4.429636,0.9876727
1001,4.423868,0.987713
1002,4.4197793,0.98775315
1003,4.415325,0.98779327
1004,4.409773,0.98783326
1005,4.405712,0.9878732
1006,4.4030247,0.9879131
1007,4.4009376,0.98795295
1008,4.3951173,0.98799264
1009,4.3931217,0.9880324
1010,4.3887177,0.988072
1011,4.384782,0.98811156
1012,4.3822374,0.9881511
1013,4.3738537,0.9881905
1014,4.371358,0.98822975
1015,4.367117,0.988269
1016,4.363798,0.98830813
1017,4.3621655,0.9883473
1018,4.353858,0.98838633
1019,4.352593,0.98842525
1020,4.35241,0.98846424
1021,4.342943,0.9885031
1022,4.33994,0.98854184
1023,4.3381877,0.9885805
1024,4.333343,0.9886192
1025,4.3291883,0.9886578
1026,4.3279657,0.9886963
1027,4.325938,0.9887348
1028,4.322146,0.9887733
1029,4.3180294,0.9888117
1030,4.3129263,0.9888499
1031,4.305924,0.988888
1032,4.3043823,0.9889262
1033,4.299555,0.98896426
1034,4.295826,0.9890022
1035,4.291522,0.9890401
1036,4.2894,0.989078
1037,4.2836137,0.9891157
1038,4.275449,0.9891533
1039,4.27328,0.9891909
1040,4.268846,0.98922837
1041,4.2651095,0.9892658
1042,4.263393,0.98930323
1043,4.2588654,0.9893405
