child,parent
GO:0006623,GO:0007034
GO:0006623,GO:0072666
GO:0006624,GO:0016485
GO:0006626,GO:0006605
GO:0006627,GO:0034982
GO:0006629,GO:0044238
GO:0006631,GO:0006629
GO:0006631,GO:0032787
GO:0006633,GO:0006631
GO:0006633,GO:0008610
GO:0006635,GO:0009062
GO:0006635,GO:0019395
GO:0006637,GO:0006753
GO:0006637,GO:0043603
GO:0006637,GO:0072521
GO:0006641,GO:0008150
GO:0006644,GO:0006629
GO:0006644,GO:0006796
GO:0006644,GO:0019637
GO:0006646,GO:0046337
GO:0006646,GO:0046474
GO:0006650,GO:0006644
GO:0006650,GO:0046486
GO:0006654,GO:0046474
GO:0006655,GO:0046474
GO:0006656,GO:0006650
GO:0006656,GO:0046474
GO:0006657,GO:0006656
GO:0006658,GO:0006650
GO:0006661,GO:0046474
GO:0006661,GO:0046488
GO:0006665,GO:0008150
GO:0006672,GO:0006665
GO:0006672,GO:0043603
GO:0006673,GO:0006644
GO:0006673,GO:0006665
GO:0006694,GO:0008202
GO:0006694,GO:0008610
GO:0006696,GO:0008204
GO:0006696,GO:0016126
GO:0006730,GO:0044281
GO:0006734,GO:0006163
GO:0006734,GO:0046496
GO:0006739,GO:0006163
GO:0006739,GO:0046496
GO:0006740,GO:0006091
GO:0006740,GO:0006739
GO:0006744,GO:1901663
GO:0006749,GO:0006790
GO:0006749,GO:0043603
GO:0006751,GO:0006749
GO:0006751,GO:0006790
GO:0006751,GO:0042219
GO:0006753,GO:0006796
GO:0006753,GO:0019637
