gene,n_terms
YDR203W,3
YDR204W,6
YDR205W,17
YDR206W,12
YDR207C,18
YDR208W,12
YDR209C,4
YDR210W,5
YDR211W,12
YDR212W,10
YDR213W,13
YDR214W,7
YDR215C,4
YDR216W,17
YDR217C,14
YDR218C,24
YDR219C,6
YDR220C,3
YDR221W,3
YDR222W,4
YDR223W,7
YDR224C,10
YDR225W,12
YDR226W,19
YDR227W,12
YDR228C,13
YDR229W,6
YDR230W,3
YDR231C,6
YDR232W,10
YDR233C,10
YDR234W,8
YDR235W,12
YDR236C,13
YDR237W,9
YDR238C,16
YDR239C,3
YDR240C,11
YDR241W,4
YDR242W,4
YDR243C,19
YDR244W,11
YDR245W,12
YDR246W,14
YDR246W-A,3
YDR247W,13
YDR248C,9
YDR249C,3
YDR250C,4
YDR251W,7
YDR252W,7
YDR253C,10
YDR254W,14
YDR255C,14
YDR256C,14
YDR257C,7
YDR258C,10
YDR259C,8
YDR260C,9
YDR261C,15
YDR262W,4
YDR263C,17
YDR264C,14
YDR265W,16
YDR266C,15
YDR267C,7
YDR268W,8
YDR269C,4
YDR270W,15
YDR271C,3
YDR272W,4
YDR273W,13
YDR274C,3
YDR275W,4
YDR276C,8
YDR277C,4
YDR278C,4
YDR279W,2
YDR280W,19
YDR281C,6
YDR282C,6
YDR283C,20
YDR284C,9
YDR285W,8
YDR286C,3
YDR287W,6
YDR288W,7
YDR289C,9
YDR290W,4
YDR291W,19
YDR292C,9
YDR293C,17
YDR294C,15
YDR295C,9
YDR296W,13
YDR297W,9
YDR298C,9
YDR299W,9
YDR300C,12
YDR301W,7
YDR302W,5
YDR303C,14
YDR304C,8
YDR305C,8
YDR306C,4
YDR307W,12
YDR308C,10
YDR309C,12
YDR310C,8
YDR311W,13
YDR312W,8
YDR313C,16
YDR314C,10
YDR315C,8
YDR316W,9
YDR317W,4
YDR318W,11
YDR319C,11
YDR320C,11
YDR320C-A,17
YDR320W-B,3
YDR321W,8
YDR322C-A,12
YDR322W,6
YDR323C,13
YDR324C,11
YDR325W,15
YDR326C,16
YDR327W,3
YDR328C,27
YDR329C,9
YDR330W,5
YDR331W,9
YDR332W,10
YDR333C,5
YDR334W,15
YDR335W,7
YDR336W,8
YDR337W,11
YDR338C,7
YDR339C,11
YDR340W,4
YDR341C,12
YDR342C,17
YDR343C,16
YDR344C,3
YDR345C,14
YDR346C,11
YDR347W,10
YDR348C,11
YDR349C,11
YDR350C,6
YDR351W,5
YDR352W,6
YDR353W,8
YDR354C-A,3
YDR354W,9
YDR355C,4
YDR356W,12
YDR357C,5
YDR358W,14
YDR359C,8
YDR360W,3
YDR361C,6
YDR362C,8
YDR363W,7
YDR363W-A,15
YDR364C,9
YDR365C,5
YDR366C,4
YDR367W,7
YDR368W,10
YDR369C,17
YDR370C,13
YDR371C-A,3
YDR371W,11
YDR372C,18
YDR373W,10
YDR374C,7
YDR374W-A,5
YDR375C,13
YDR376W,6
YDR377W,9
YDR378C,19
YDR379C-A,4
YDR379W,7
YDR380W,18
YDR381C-A,8
YDR381W,5
YDR382W,10
YDR383C,9
YDR384C,11
YDR385W,16
YDR386W,18
YDR387C,7
YDR388W,14
YDR389W,5
YDR390C,9
YDR391C,4
YDR392W,11
YDR393W,6
YDR394W,14
YDR395W,12
YDR396W,4
YDR397C,14
YDR398W,11
YDR399W,7
YDR400W,9
YDR401W,4
YDR402C,10
YDR403W,4
YDR404C,16
YDR405W,7
YDR406W,10
YDR406W-A,4
YDR407C,9
YDR408C,8
YDR409W,15
YDR410C,9
YDR411C,9
YDR412W,8
YDR413C,4
YDR414C,8
YDR415C,9
YDR416W,16
YDR417C,4
YDR418W,10
YDR419W,20
YDR420W,11
YDR421W,12
YDR422C,10
YDR423C,9
YDR424C,19
YDR425W,9
YDR426C,3
YDR427W,9
YDR428C,5
YDR429C,16
YDR430C,12
YDR431W,4
YDR432W,15
YDR433W,3
YDR434W,7
YDR435C,7
YDR436W,8
YDR437W,10
YDR438W,6
YDR439W,13
YDR440W,19
YDR441C,7
YDR442W,4
YDR443C,9
YDR444W,7
YDR445C,4
YDR446W,7
YDR447C,8
YDR448W,20
YDR449C,15
YDR450W,14
YDR451C,11
YDR452W,14
YDR453C,15
YDR454C,10
YDR455C,3
YDR456W,20
YDR457W,20
YDR458C,10
YDR459C,12
YDR460W,10
YDR461C-A,3
YDR461W,6
YDR462W,6
YDR463W,14
YDR464C-A,3
YDR464W,4
YDR465C,7
YDR466W,11
YDR467C,4
YDR468C,19
YDR469W,5
YDR470C,5
YDR471W,8
YDR472W,13
YDR473C,8
YDR475C,5
YDR476C,3
YDR477W,27
YDR478W,14
YDR479C,6
YDR480W,2
YDR481C,13
YDR482C,7
YDR483W,14
YDR484W,17
YDR485C,7
YDR486C,14
YDR487C,9
YDR488C,6
YDR489W,8
YDR490C,13
YDR491C,4
YDR492W,6
YDR493W,5
YDR494W,5
YDR495C,11
YDR496C,16
YDR497C,12
YDR498C,9
YDR499W,10
YDR500C,13
YDR501W,3
YDR502C,8
YDR503C,7
YDR504C,4
YDR505C,5
YDR506C,12
YDR507C,17
YDR508C,14
YDR509W,4
YDR510C-A,4
YDR510W,6
YDR511W,6
YDR512C,6
YDR513W,12
YDR514C,5
YDR515W,8
YDR516C,22
YDR517W,10
YDR518W,9
YDR519W,10
YDR520C,10
YDR521W,4
YDR522C,8
YDR523C,16
YDR524C,9
YDR524C-A,3
YDR524C-B,6
YDR524W-C,3
YDR525W,3
YDR525W-A,6
YDR526C,4
YDR527W,3
YDR528W,3
YDR529C,8
YDR530C,10
YDR531W,10
YDR532C,11
YDR533C,11
