triple,order,order_idx,gene_1,gene_2,gene_3,f_base,f_single,f_double,f_triple,se_single,se_double,se_triple,n_single,n_double,n_triple,tau_multiplicative,monotone,monotone_within_se,min_rung,valley_depth
GCN5-OPI1-RPD3,OPI1>GCN5>RPD3,2,OPI1,GCN5,RPD3,1.0,0.8408572711869856,0.8604994155795863,0.9762845476254736,0.016130995360014333,0.020163833427049117,0.06338705872205433,3,3,3,-0.14198021370766745,False,False,0.8408572711869856,0.1591427288130144
GCN5-OPI1-RPD3,OPI1>RPD3>GCN5,3,OPI1,RPD3,GCN5,1.0,0.8408572711869856,0.9249419395612838,0.9762845476254736,0.016130995360014333,0.04269834163729813,0.06338705872205433,3,3,3,-0.14198021370766745,False,False,0.8408572711869856,0.1591427288130144
GCN5-OPI1-RPD3,RPD3>GCN5>OPI1,4,RPD3,GCN5,OPI1,1.0,0.5245219492978349,0.7392215760417186,0.9762845476254736,0.026794921037720753,0.08335235200827153,0.06338705872205433,3,3,3,-0.14198021370766745,False,False,0.5245219492978349,0.4754780507021651
GCN5-OPI1-RPD3,RPD3>OPI1>GCN5,5,RPD3,OPI1,GCN5,1.0,0.5245219492978349,0.9249419395612838,0.9762845476254736,0.026794921037720753,0.04269834163729813,0.06338705872205433,3,3,3,-0.14198021370766745,False,False,0.5245219492978349,0.4754780507021651
FKH1-RFX1-SPT3,FKH1>RFX1>SPT3,0,FKH1,RFX1,SPT3,1.0,0.9168421551749057,1.6261426401512902,0.9789283882824926,0.02842854767685232,0.020773488624712934,0.012356001482625265,3,3,3,-1.384354749464666,False,False,0.9168421551749057,0.08315784482509425
FKH1-RFX1-SPT3,FKH1>SPT3>RFX1,1,FKH1,SPT3,RFX1,1.0,0.9168421551749057,1.567381968673507,0.9789283882824926,0.02842854767685232,0.0106643143621028,0.012356001482625265,3,3,3,-1.384354749464666,False,False,0.9168421551749057,0.08315784482509425
FKH1-RFX1-SPT3,RFX1>FKH1>SPT3,2,RFX1,FKH1,SPT3,1.0,0.9136686175493707,1.6261426401512902,0.9789283882824926,0.06729492863706489,0.020773488624712934,0.012356001482625265,3,3,3,-1.384354749464666,False,False,0.9136686175493707,0.08633138245062932
FKH1-RFX1-SPT3,RFX1>SPT3>FKH1,3,RFX1,SPT3,FKH1,1.0,0.9136686175493707,1.0635130373330814,0.9789283882824926,0.06729492863706489,0.029615471403684656,0.012356001482625265,3,3,3,-1.384354749464666,False,False,0.9136686175493707,0.08633138245062932
FKH1-RFX1-SPT3,SPT3>FKH1>RFX1,4,SPT3,FKH1,RFX1,1.0,0.8907531667337315,1.567381968673507,0.9789283882824926,0.03756851678710308,0.0106643143621028,0.012356001482625265,3,3,3,-1.384354749464666,False,False,0.8907531667337315,0.1092468332662685
FKH1-RFX1-SPT3,SPT3>RFX1>FKH1,5,SPT3,RFX1,FKH1,1.0,0.8907531667337315,1.0635130373330814,0.9789283882824926,0.03756851678710308,0.029615471403684656,0.012356001482625265,3,3,3,-1.384354749464666,False,False,0.8907531667337315,0.1092468332662685
FKH1-RGR1-RPD3,FKH1>RGR1>RPD3,0,FKH1,RGR1,RPD3,1.0,0.9168421551749057,1.4820140436274143,0.994662953916364,0.02842854767685232,0.013188932186243776,0.058319252563851294,3,3,3,-0.8586630139489684,False,False,0.9168421551749057,0.08315784482509425
FKH1-RGR1-RPD3,FKH1>RPD3>RGR1,1,FKH1,RPD3,RGR1,1.0,0.9168421551749057,1.2931647006822409,0.994662953916364,0.02842854767685232,0.15368086217118307,0.058319252563851294,3,3,3,-0.8586630139489684,False,False,0.9168421551749057,0.08315784482509425
FKH1-RGR1-RPD3,RGR1>FKH1>RPD3,2,RGR1,FKH1,RPD3,1.0,0.9121109966844414,1.4820140436274143,0.994662953916364,0.02027007226013599,0.013188932186243776,0.058319252563851294,3,3,3,-0.8586630139489684,False,False,0.9121109966844414,0.0878890033155586
FKH1-RGR1-RPD3,RGR1>RPD3>FKH1,3,RGR1,RPD3,FKH1,1.0,0.9121109966844414,0.8439213619220304,0.994662953916364,0.02027007226013599,0.10443735576772187,0.058319252563851294,3,3,3,-0.8586630139489684,False,False,0.8439213619220304,0.15607863807796962
