gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
RFX1_SPT3,digenic,C18:1,0.5871273039665422,0.37704528356279177,0.21768719596165662,0.09981268693550804,0.13891456429168644,0.5871273039665422,False,False
RFX1_SPT3,digenic,Total Titer,0.25909125304997926,0.14300780069960833,0.08256559223013522,0.03498351784786102,0.06352735454446912,0.25909125304997926,True,False
MED4_RPD3,digenic,C14:0,-1.0002688535649815,0.20571618692930096,0.1187702959002953,0.0023782316479195043,0.01070204241563777,1.0002688535649815,True,True
MED4_RPD3,digenic,C16:0,0.9693673801337609,0.12056703737961298,0.06960941148651524,2.4836788546922506e-05,0.0013411865815338153,0.9693673801337609,True,True
MED4_RPD3,digenic,C18:0,0.7669067564393642,0.08940871156985881,0.05162014369275559,7.237282177952054e-05,0.0015655717735322103,0.7669067564393642,True,True
MED4_RPD3,digenic,C16:1,-0.13080136293955835,0.1924169247215161,0.11109196328460728,0.3212140283156377,0.36749062561534823,0.13080136293955835,False,False
MED4_RPD3,digenic,C18:1,2.9528810650503523,0.24525004029741865,0.14159517678448122,0.00022073895099850027,0.002709068944072503,2.9528810650503523,True,True
MED4_RPD3,digenic,Total Titer,0.856283664255912,0.1217401363779326,0.07028670050898114,5.9245534475449446e-05,0.0015655717735322103,0.856283664255912,True,True
OPI1_RFX1,digenic,C14:0,-0.7559794869739611,0.2950611275267857,0.17035362140498422,0.00920510663619134,0.028242940815587064,0.7559794869739611,True,True
OPI1_RFX1,digenic,C16:0,0.5343656684024222,0.24308682564371265,0.14034624422184913,0.014771214440148395,0.03910027351803987,0.5343656684024222,True,True
OPI1_RFX1,digenic,C18:0,0.5265515428750378,0.25909338856593905,0.14958763763379723,0.01731711560866822,0.040307079433969134,0.5265515428750378,True,True
OPI1_RFX1,digenic,C16:1,-0.19570332634904974,0.16126597307515608,0.09310695296606832,0.09734864682212674,0.13630412551390061,0.19570332634904974,False,False
OPI1_RFX1,digenic,C18:1,0.19263383007112356,0.11246901399370303,0.06493401550475623,0.04754737441903867,0.07507480171427158,0.19263383007112356,True,False
OPI1_RFX1,digenic,Total Titer,0.3312963545741493,0.1784438337482039,0.10302459544975436,0.03092774699321099,0.060260774916470916,0.3312963545741493,True,False
GCN5_SPT3,digenic,C14:0,-0.19096117654327727,0.3219723416840181,0.1860095033353505,0.371753015980657,0.41136604227367785,0.19096117654327727,False,False
