hgnc.symbol:CLCN2	'CLCN2'	'hgnc.symbol:CLCN2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ALB	'ALB'	'hgnc.symbol:ALB'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CSF1	'CSF1'	'hgnc.symbol:CSF1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:ALOX15	'ALOX15'	'hgnc.symbol:ALOX15'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IFN1@	'IFN1@'	'hgnc.symbol:IFN1@'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IFNL3	'IFNL3'	'hgnc.symbol:IFNL3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IRF2	'IRF2'	'hgnc.symbol:IRF2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:COL1A2	'COL1A2'	'hgnc.symbol:COL1A2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IL1B	'IL1B'	'hgnc.symbol:IL1B'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:IL1A	'IL1A'	'hgnc.symbol:IL1A'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:CDC25A	'CDC25A'	'hgnc.symbol:CDC25A'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:NQO1	'NQO1'	'hgnc.symbol:NQO1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:TGFB1	'TGFB1'	'hgnc.symbol:TGFB1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:MMP1	'MMP1'	'hgnc.symbol:MMP1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:REG1A	'REG1A'	'hgnc.symbol:REG1A'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:GHRHR	'GHRHR'	'hgnc.symbol:GHRHR'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:EMP1	'EMP1'	'hgnc.symbol:EMP1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
hgnc.symbol:HBG1	'HBG1'	'hgnc.symbol:HBG1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon'
