gene1,gene2,gene3,triple,systematic,corrected_M01_lzs9pcj3,asrun_M01_lzs9pcj3,corrected_M02_yv4r30bi,asrun_M02_yv4r30bi,corrected_M03_c7671wgj,asrun_M03_c7671wgj,corrected_mean,corrected_sd,asrun_mean,stored_prediction,corrected_rank,asrun_rank,panel
YJL017W,YLR104W,YMR244W,YJL017W+YLR104W+YMR244W,YJL016W+YLR104W+YMR244W,-0.0018245760183233017,,-0.0010986769587813458,,0.0015533936305111504,,-0.0004566197821978324,0.0017781585420354063,,,338,,panel_24
YJL017W,YKL033W-A,YLR351C,YJL017W+YKL033W-A+YLR351C,YJL016W+YKL033W-A+YLR351C,-0.0013658778289325378,,0.0053635555632388,,-0.00550895132342967,,-0.0005037578630411359,0.005487284358118756,,,339,,panel_24
YBR246W,YKL200C,YMR244W,YBR246W+YKL200C+YMR244W,YBR246W+YKL201C+YMR244W,0.0027229236998881703,,0.0007946857709894041,,-0.0051051310203597275,,-0.0005291738498273843,0.0040784878812521585,,,340,,panel_24
YER079W,YLL005C,YLR312C-B,YER079W+YLL005C+YLR312C-B,YER079W+YLL005C+YLR313C,-0.0005059475202589918,,-0.0007754217122833348,,-0.00042376573260165685,,-0.0005683783217146611,0.00018395294436150808,,0.55419921875,341,,panel_24
YBR246W,YLL012W,YMR244W,YBR246W+YLL012W+YMR244W,YBR246W+YLL012W+YMR244W,0.006501664487538488,0.00377768471620828,0.00036862763821733126,-0.0037633283554792474,-0.008647726786553915,0.08498312517161656,-0.0005924782202660321,0.007620289190529126,0.028332493844115198,,342,949.0,panel_24
YKL033W-A,YKL200C,YMR244W,YKL033W-A+YKL200C+YMR244W,YKL033W-A+YKL201C+YMR244W,0.003299238840067045,,-0.0011015493667214209,,-0.004087872744694046,,-0.0006300610904494741,0.0037160570888273904,,,343,,panel_24
YDR155C,YGL087C,YJL017W,YDR155C+YGL087C+YJL017W,YDR155C+YGL087C+YJL016W,0.010458596379110306,,-0.02251709361291021,,0.009962059140718342,,-0.0006988126976938541,0.018896816501166227,,,344,,panel_24
YBR246W,YLL005C,YMR244W,YBR246W+YLL005C+YMR244W,YBR246W+YLL005C+YMR244W,0.0027543241055579936,-0.03762356114803529,0.0010672176115708951,-0.00539889365100371,-0.005921315084018126,0.016986571880235436,-0.0006999244556297456,0.004599866536235574,-0.00867862763960119,,345,965.0,panel_24
YER079W,YKR054C,YLR351C,YER079W+YKR054C+YLR351C,YER079W+YKR054C+YLR351C,-0.0262183840259164,0.6137063101154433,0.005181970738088459,0.6057866015901833,0.018922904776965323,0.6507534380386973,-0.0007045028369542053,0.023139185747526866,0.6234154499147747,,346,72.0,panel_24
YKL033W-A,YLR351C,YOR126C,YKL033W-A+YLR351C+YOR126C,YKL033W-A+YLR351C+YOR126C,-0.004151235169762048,0.5018585496675082,-0.002570810066928386,0.5424042572639686,0.004496422081257046,0.28231802954652885,-0.0007418743851444627,0.004604807083782403,0.4421936121593352,,347,197.0,panel_24
YBR246W,YER079W,YPL081W,YBR246W+YER079W+YPL081W,YBR246W+YER079W+YPL081W,-0.025072035900633366,0.027353749198103308,0.038635519303937556,0.0216016047655001,-0.01579243499796778,0.38495501941452126,-0.000742983864887863,0.03441696721227893,0.14463679112604155,,348,654.0,panel_24
