triple,array_gene,array_allele,array_perturbation_type,f_triple,se_triple,tau,tau_p_value,n_paths,n_monotone,n_monotone_within_se,n_monotone_after_first,max_valley_depth,min_valley_depth,best_min_rung,endpoint_gain,positive_call
YER059W+YIL050W+YNL068C,YNL068C,fkh2_delta,KanMX_deletion,0.9698,0.0149,-0.013599,0.1201,6,0,0,1,0.10441999999999996,-0.0242,0.9698,-0.030200000000000005,False
YER059W+YIL050W+YML047C,YML047C,prm6_delta,KanMX_deletion,0.9674,0.02415,0.059316,0.2688,6,0,1,1,0.10441999999999996,-0.018899999999999917,0.9674,-0.03259999999999996,False
YER059W+YIL050W+YAR002W,YAR002W,nup60_delta,KanMX_deletion,0.967,0.02095,-0.013352,0.2438,6,0,0,1,0.10441999999999996,0.01100000000000001,0.967,-0.03300000000000003,False
YER059W+YIL050W+YAL051W,YAL051W,oaf1_delta,KanMX_deletion,0.9663,0.0222,-0.054594,0.3428,6,0,0,1,0.10441999999999996,0.02019000000000004,0.9663,-0.03369999999999995,False
YER059W+YIL050W+YBR107C,YBR107C,iml3_delta,KanMX_deletion,0.9662,0.0231,-0.109662,0.244,6,0,1,1,0.10441999999999996,0.0014999999999999458,0.9662,-0.03380000000000005,False
YER059W+YIL050W+YDR073W,YDR073W,snf11_delta,KanMX_deletion,0.9657,0.0221,0.129445,0.1952,6,0,2,2,0.10441999999999996,0.006800000000000028,0.9657,-0.0343,False
YER059W+YIL050W+YOL117W,YOL117W,rri2_delta,KanMX_deletion,0.9653,0.03345,0.069143,0.3084,6,0,1,1,0.10441999999999996,-0.009500000000000064,0.9653,-0.03469999999999995,False
YER059W+YIL050W+YLR324W,YLR324W,pex30_delta,KanMX_deletion,0.9652,0.01455,0.060096,0.2053,6,0,0,1,0.10441999999999996,0.022220000000000018,0.9652,-0.03480000000000005,False
YER059W+YIL050W+YOL093W,YOL093W,trm10_delta,KanMX_deletion,0.9651,0.0417,0.024956,0.1825,6,0,1,1,0.10441999999999996,0.05900000000000005,0.941,-0.03490000000000004,False
YER059W+YIL050W+YFL049W,YFL049W,swp82_delta,KanMX_deletion,0.9649,0.02105,-0.025503,0.1739,6,0,0,1,0.10441999999999996,-0.03400000000000003,0.9649,-0.03510000000000002,False
YER059W+YIL050W+YLR135W,YLR135W,slx4_delta,KanMX_deletion,0.9647,0.0106,0.026738,0.1771,6,0,0,1,0.10441999999999996,-0.02079999999999993,0.9647,-0.0353,False
YER059W+YIL050W+YDR513W,YDR513W,grx2_delta,KanMX_deletion,0.9639,0.05115,-0.007354,0.3252,6,0,0,1,0.10441999999999996,0.025739999999999985,0.9639,-0.03610000000000002,False
YER059W+YIL050W+YPR029C,YPR029C,apl4_delta,KanMX_deletion,0.9634,0.02915,-0.07248,0.4259,6,0,0,1,0.10441999999999996,-0.0015000000000000568,0.9634,-0.036599999999999966,False
YER059W+YIL050W+YOR011W,YOR011W,aus1_delta,KanMX_deletion,0.9634,0.0396,-0.048472,0.2714,6,0,0,1,0.10441999999999996,-0.044499999999999984,0.9634,-0.036599999999999966,False
YER059W+YIL050W+YLR315W,YLR315W,nkp2_delta,KanMX_deletion,0.9627,0.01875,0.041308,0.471,6,0,1,3,0.10441999999999996,0.0847,0.9153,-0.0373,False
YER059W+YIL050W+YOR264W,YOR264W,dse3_delta,KanMX_deletion,0.9625,0.0291,-0.072169,0.3005,6,0,0,1,0.10441999999999996,0.0010000000000000009,0.9625,-0.03749999999999998,False
YER059W+YIL050W+YMR080C,YMR080C,nam7_delta,KanMX_deletion,0.9625,0.0299,0.100786,0.2061,6,0,1,2,0.10441999999999996,0.007499999999999951,0.9625,-0.03749999999999998,False
YER059W+YIL050W+YOR138C,YOR138C,rup1_delta,KanMX_deletion,0.9624,0.02705,-0.001441,0.1547,6,0,0,1,0.10441999999999996,-0.0044999999999999485,0.9624,-0.03759999999999997,False
YER059W+YIL050W+YHR086W,YHR086W,nam8_delta,KanMX_deletion,0.9623,0.0527,0.065081,0.4937,6,0,1,1,0.10441999999999996,-0.010199999999999987,0.9623,-0.037699999999999956,False
YER059W+YIL050W+YOL152W,YOL152W,fre7_delta,KanMX_deletion,0.9622,0.017,0.013478,0.06382,6,0,0,1,0.10441999999999996,-0.009500000000000064,0.9622,-0.037799999999999945,False
YER059W+YIL050W+YPL089C,YPL089C,rlm1_delta,KanMX_deletion,0.9621,0.01985,0.429727,0.2161,6,0,1,1,0.3681,-0.009500000000000064,0.9621,-0.037900000000000045,False
