gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
MED4:RGR1:RPD3,trigenic,C160,-2.4690606027737316,0.08466435511686413,0.2623155354907009,4.841994871874205e-21,2.5229341700818226e-19,2.4690606027737316,True,True
MED4:RGR1:SPT3,trigenic,C160,-2.540468652223631,0.07882944753659764,0.2623155354907007,3.4995593541227085e-22,2.3097091737209876e-20,2.540468652223631,True,True
MED4:RGR1:YAP6,trigenic,C160,-2.444363396098823,0.0867813626747863,0.26231553549070064,1.1809804920422017e-20,5.314412214189908e-19,2.444363396098823,True,True
MED4:RGR1:TFC7,trigenic,C160,-2.5810914219912937,0.0756913477231432,0.26231553549070097,7.597939170368344e-23,6.268299815553884e-21,2.5810914219912937,True,True
MED4:RPD3:SPT3,trigenic,C160,-2.5511674978428234,0.07799055901848424,0.2623155354907009,2.345931351935777e-22,1.680858238123e-20,2.5511674978428234,True,True
MED4:RPD3:YAP6,trigenic,C160,-2.6294343350973137,0.07211924602898603,0.2623155354907008,1.1964034124293472e-23,1.0767630711864125e-21,2.6294343350973137,True,True
MED4:RPD3:TFC7,trigenic,C160,-2.5318016473899276,0.07951563202624334,0.262315535490701,4.832809644004763e-22,2.8144009103321855e-20,2.5318016473899276,True,True
MED4:SPT3:YAP6,trigenic,C160,-2.5508165765062274,0.07801793237236293,0.26231553549070097,2.376971245830505e-22,1.680858238123e-20,2.5508165765062274,True,True
MED4:SPT3:TFC7,trigenic,C160,-2.6851537336822657,0.06821070690708658,0.2623155354907007,1.3628051653140202e-24,1.6864713920761e-22,2.6851537336822657,True,True
MED4:YAP6:TFC7,trigenic,C160,-2.8593701074101316,0.057304844796685836,0.2623155354907009,1.1462751692892004e-27,2.837031043990771e-25,2.8593701074101316,True,True
OPI1:RFX1:RGR1,trigenic,C160,-0.1488772468972117,0.8616748816725457,0.2623155354907009,0.5703403987926583,0.6184413962811957,0.1488772468972117,False,False
OPI1:RFX1:RPD3,trigenic,C160,-1.5324972487555226,0.21599559851401479,0.2623155354907009,5.1518938192791155e-09,2.0401499524345296e-08,1.5324972487555226,True,True
OPI1:RFX1:SPT3,trigenic,C160,-0.6803998266750066,0.5064144738668771,0.2623155354907008,0.00949155921884629,0.016145435784635443,0.6803998266750066,True,True
OPI1:RFX1:YAP6,trigenic,C160,-0.5052505382644417,0.6033543931268586,0.2623155354907009,0.054089706432314574,0.0776069700985383,0.5052505382644417,False,False
OPI1:RFX1:TFC7,trigenic,C160,-0.42351889531787756,0.654738804051722,0.26231553549070075,0.10641037211499112,0.14140438710582712,0.42351889531787756,False,False
OPI1:RGR1:RPD3,trigenic,C160,-0.955299615526913,0.3846968661299909,0.26231553549070075,0.00027074279680603465,0.0005814216243773846,0.955299615526913,True,True
OPI1:RGR1:SPT3,trigenic,C160,-0.09895831361717855,0.905780465947803,0.2623155354907009,0.7059884551801153,0.7467185583635836,0.09895831361717855,False,False
OPI1:RGR1:YAP6,trigenic,C160,-0.13673567204349224,0.8722007427047637,0.2623155354907008,0.602182804687803,0.6472974773517102,0.13673567204349224,False,False
OPI1:RGR1:TFC7,trigenic,C160,-0.12109600694108469,0.8859488982660222,0.2623155354907012,0.6443376915997017,0.6880241208776281,0.12109600694108469,False,False
OPI1:RPD3:SPT3,trigenic,C160,-0.8755577723384032,0.41662957040791393,0.2623155354907009,0.0008444337495866802,0.001716610702445202,0.8755577723384032,True,True
