,noise_var,total_var,reliability,ceiling,robust_cv,label,description,score,rank
A114,0.013600665869726903,0.01620025904388655,0.1604661485422758,0.4005822618917066,0.4857100623283081,actin_a_ratio_to_no_bud_cells,Actin a ratio on no bud cells,0.19456683539103545,28.0
A115,0.013600665869726901,0.01620025904388655,0.16046614854227592,0.40058226189170676,0.25219560939937624,actin_b_ratio_to_no_bud_cells,Actin b ratio on no bud cells,0.10102508765235951,86.0
A116,0.0035367807871478714,0.003685556058869057,0.0403671167511257,0.20091569563158995,0.21586866821806805,actin_c_api_ratio_to_budded_cells,Actin c (api) ratio on budded cells,0.04337140364009803,213.0
A117,0.0021185302924800896,0.0036160898752391293,0.41413782135600463,0.6435354080048779,0.25556168810599006,actin_d_iso_ratio_to_budded_cells,Actin d (iso) ratio on budded cells,0.16446299522570365,36.0
A118,0.002610920653027549,0.003281053629545315,0.20424322555514973,0.45193276663144233,0.4120397931474283,actin_e_ratio_to_budded_cells,Actin e ratio on budded cells,0.18621428367936446,30.0
A119,0.0010068336305875606,0.0016685078847844,0.3965664533148665,0.6297352247690028,0.3661925793103449,actin_f_ratio_to_budded_cells,Actin f ratio on budded cells,0.2306043662407409,22.0
A120_A,213.31914512836502,254.98199212805721,0.16339525255088705,0.4042217863387463,0.6132751873748297,Total_length_of_actin_patch_link,Total length of actin patch link on stage A,0.247899191757883,17.0
A120_A1B,537.3624442919137,532.4837690116934,0.0,0.0,0.5643011508762634,Total_length_of_actin_patch_link,Total length of actin patch link on stage A1B,0.0,252.0
A120_C,765.7793527413912,842.1630914006688,0.09069946123171657,0.30116351245082223,0.4828287939821346,Total_length_of_actin_patch_link,Total length of actin patch link on stage C,0.14541041550805406,50.0
A121_A,20.900557326973328,27.559898846404398,0.24163156608609548,0.4915603381947078,0.516719689112279,Maximal_distance_between_patches,Maximam actin patch length on stage A,0.2539989051318961,15.0
A121_A1B,59.48721765960379,64.12171517758118,0.07227656816637595,0.26884301770062013,0.515723408446282,Maximal_distance_between_patches,Maximam actin patch length on stage A1B,0.13864863742554792,52.0
A121_C,67.76057075846452,87.4093339545067,0.22479021755581197,0.474120467345391,0.4105041669901371,Maximal_distance_between_patches,Maximam actin patch length on stage C,0.19462842750059423,27.0
A122_A,1.130387989952257,0.9947496416604626,0.0,0.0,0.6368362593309376,Number_of_bright_actin_patches,Number of actin patches on stage A,0.0,252.0
A122_A1B,3.115233436078598,2.6641231876254508,0.0,0.0,0.6048131213799662,Number_of_bright_actin_patches,Number of actin patches on stage A1B,0.0,252.0
A122_C,4.212749988481159,3.2370992313540308,0.0,0.0,0.5942143157599009,Number_of_bright_actin_patches,Number of actin patches on stage C,0.0,252.0
A123_A,0.03979705755011538,0.032490394314734064,0.0,0.0,0.5672126765760119,Ratio_of_actin_patches_to_actin_region,Ratio of actin patch region to actin region on stage A,0.0,252.0
A123_A1B,0.03214553558076421,0.02933339161217558,0.0,0.0,0.4865508021239688,Ratio_of_actin_patches_to_actin_region,Ratio of actin patch region to actin region on stage A1B,0.0,252.0
A123_C,0.03882589753647969,0.03320241251150161,0.0,0.0,0.5987607516418327,Ratio_of_actin_patches_to_actin_region,Ratio of actin patch region to actin region on stage C,0.0,252.0
A7-1_A,1424.445042254589,2257.9366820334244,0.36913862395300645,0.607567793709481,0.26524373842903115,Size_of_actin_region,Actin region size in mother cell on stage A,0.16115355295258113,39.0
A7-1_A1B,992.0064751557697,1155.3535509188162,0.14138276169501673,0.37600899150820416,0.3133546597351083,Size_of_actin_region_in_mother,Actin region size in mother cell on stage A1B,0.11782416959139454,65.0
A7-1_C,1825.1174974771975,1575.5313166742108,0.0,0.0,0.28903429744007664,Size_of_actin_region_in_mother,Actin region size in mother cell on stage C,0.0,252.0
A7-2_A1B,202.65004596545734,870.3087728241621,0.7671515532264996,0.8758718817421299,0.15670617639469608,Size_of_actin_region_in_bud,Actin region size in bud on stage A1B,0.1372545335994366,53.0
A7-2_C,732.2072141360931,1672.7369185603636,0.5622699505154312,0.7498466179929274,0.2066803977185934,Size_of_actin_region_in_bud,Actin region size in bud on stage C,0.1549785972347204,40.0
A8-1_A,15826335.795839237,23119678.52175343,0.315460386659436,0.5616586032986907,0.4443127450717291,Actin_region_brightness,Actin region brightness in mother cell on stage A,0.24955207582479455,16.0
A8-1_A1B,7896009.772824556,8381658.401620014,0.05794183030670774,0.2407110930279445,0.5036582944625185,Total_brightness_of_actin_region_in_mother,Actin region brightness in mother cell on stage A1B,0.12123613857266316,62.0
A8-1_C,12127310.081277533,12985466.067314146,0.06608588260044723,0.25707174601742455,0.48029600924989074,Total_brightness_of_actin_region_in_mother,Actin region brightness in mother cell on stage C,0.12347053370307051,61.0
A8-2_A1B,14166548.711285956,21915124.45190426,0.353572061962213,0.5946192579812842,0.4361913943137415,Total_brightness_of_actin_region_in_bud,Actin region brightness in bud on stage A1B,0.25936780322465874,14.0
A8-2_C,19304647.861215584,29818680.24270658,0.35259885065042895,0.5938003457816684,0.4492947643375925,Total_brightness_of_actin_region_in_bud,Actin region brightness in bud on stage C,0.26679138642155564,13.0
A9_A1B,0.0021062488087229196,0.004459052079217277,0.5276465106698996,0.7263928074188921,0.1505016073406812,Proportion_of_actin_region_at_neck,Ratio of actin region to bud neck on stage A1B,0.10932328507725315,79.0
