seed_gene,seed_orf,class,graph,k,n_reached,n_metabolic,n_on_locus,n_reactions_touched,n_reactions_off_locus,share_off_locus,out_degree
YPL028W,YPL028W,adjacent enzyme,physical,2,5303,1068,11,2594,2556,0.9853508095605242,34
YPL028W,YPL028W,adjacent enzyme,physical,3,5718,1157,13,2707,2643,0.9763575914296269,34
YPL147W,YPL147W,adjacent enzyme,physical,1,45,13,0,58,58,1.0,45
YPL147W,YPL147W,adjacent enzyme,physical,2,4891,968,9,2403,2369,0.9858510195588848,45
YPL147W,YPL147W,adjacent enzyme,physical,3,5717,1157,13,2709,2645,0.976375046142488,45
YPR193C,YPR193C,adjacent enzyme,physical,1,10,0,0,0,0,,10
YPR193C,YPR193C,adjacent enzyme,physical,2,4200,792,8,2119,2085,0.9839546956111374,10
YPR193C,YPR193C,adjacent enzyme,physical,3,5714,1157,13,2709,2645,0.976375046142488,10
FKH1,YIL131C,regulator,regulatory,1,2991,506,8,1264,1214,0.9604430379746836,2991
FKH1,YIL131C,regulator,regulatory,2,5971,1070,13,2523,2459,0.974633372968688,2991
FKH1,YIL131C,regulator,regulatory,3,6359,1116,13,2620,2556,0.9755725190839695,2991
GCN5,YGR252W,regulator,regulatory,1,873,198,2,530,515,0.9716981132075472,873
GCN5,YGR252W,regulator,regulatory,2,3900,818,11,1980,1920,0.9696969696969697,873
GCN5,YGR252W,regulator,regulatory,3,5429,1051,13,2553,2489,0.9749314531923228,873
MED4,YOR174W,regulator,regulatory,1,747,153,1,533,527,0.9887429643527205,747
MED4,YOR174W,regulator,regulatory,2,3479,736,11,1913,1857,0.970726607422896,747
MED4,YOR174W,regulator,regulatory,3,5652,1024,12,2535,2471,0.9747534516765286,747
OPI1,YHL020C,regulator,regulatory,1,47,22,2,258,255,0.9883720930232558,47
OPI1,YHL020C,regulator,regulatory,2,224,57,4,376,359,0.9547872340425532,47
OPI1,YHL020C,regulator,regulatory,3,1219,338,6,1100,1065,0.9681818181818181,47
RFX1,YLR176C,regulator,regulatory,1,598,129,3,430,404,0.9395348837209302,598
RFX1,YLR176C,regulator,regulatory,2,2250,516,9,1128,1081,0.9583333333333334,598
RFX1,YLR176C,regulator,regulatory,3,5286,1032,13,2503,2439,0.9744306831801838,598
RGR1,YLR071C,regulator,regulatory,1,408,102,0,450,450,1.0,408
RGR1,YLR071C,regulator,regulatory,2,2352,537,9,1451,1413,0.9738111647139903,408
RGR1,YLR071C,regulator,regulatory,3,4537,916,12,2294,2238,0.9755884917175239,408
RPD3,YNL330C,regulator,regulatory,1,326,70,0,220,220,1.0,326
RPD3,YNL330C,regulator,regulatory,2,1151,287,7,857,820,0.9568261376896149,326
RPD3,YNL330C,regulator,regulatory,3,3064,651,10,1883,1832,0.9729155602761551,326
SPT3,YDR392W,regulator,regulatory,1,523,146,0,323,323,1.0,523
SPT3,YDR392W,regulator,regulatory,2,3091,666,11,1566,1510,0.9642401021711366,523
SPT3,YDR392W,regulator,regulatory,3,5632,1078,13,2611,2547,0.9754883186518575,523
TFC7,YOR110W,regulator,regulatory,1,859,153,2,717,708,0.9874476987447699,859
TFC7,YOR110W,regulator,regulatory,2,2375,529,12,1557,1501,0.9640333975594091,859
TFC7,YOR110W,regulator,regulatory,3,5660,1046,13,2473,2409,0.9741205014152851,859
YAP6,YDR259C,regulator,regulatory,1,1170,222,2,657,647,0.984779299847793,1170
YAP6,YDR259C,regulator,regulatory,2,2835,618,10,1426,1379,0.9670406732117812,1170
YAP6,YDR259C,regulator,regulatory,3,5366,1035,13,2470,2406,0.974089068825911,1170
ACC1,YNR016C,pathway enzyme,regulatory,1,0,0,0,0,0,,0
ACC1,YNR016C,pathway enzyme,regulatory,2,0,0,0,0,0,,0
ACC1,YNR016C,pathway enzyme,regulatory,3,0,0,0,0,0,,0
FAS1,YKL182W,pathway enzyme,regulatory,1,0,0,0,0,0,,0
FAS1,YKL182W,pathway enzyme,regulatory,2,0,0,0,0,0,,0
FAS1,YKL182W,pathway enzyme,regulatory,3,0,0,0,0,0,,0
FAS2,YPL231W,pathway enzyme,regulatory,1,0,0,0,0,0,,0
FAS2,YPL231W,pathway enzyme,regulatory,2,0,0,0,0,0,,0
