orf,self_value,self_rank,n_genes,self_present,version
YLR398C,-3.2942221405997723,1.0,6169,True,kemmeren
YOR076C,-2.599774173378803,1.0,6169,True,kemmeren
YGL213C,-3.16395693905722,1.0,6169,True,kemmeren
YNL311C,-3.3536046928830747,1.0,6169,True,kemmeren
YDR515W,-1.7855194537026782,1.0,6169,True,kemmeren
YGR212W,-1.384520131799366,2.0,6169,True,kemmeren
YOR195W,-3.0470648425247293,1.0,6169,True,kemmeren
YBR228W,-0.9002740731759825,9.0,6169,True,kemmeren
YLR135W,-0.7289974319041699,8.0,6169,True,kemmeren
YGL058W,-4.1363092193361135,1.0,6169,True,kemmeren
YML058W,-3.730753443627028,1.0,6169,True,kemmeren
YNR015W,-3.3146369995086418,1.0,6169,True,kemmeren
YBR182C,-0.4937790395909418,51.0,6169,True,kemmeren
YIL016W,-3.883007171673107,1.0,6169,True,kemmeren
YGL131C,-1.6561428060395182,1.0,6169,True,kemmeren
YDR006C,-4.475964446532723,1.0,6169,True,kemmeren
YNR034W,-2.7311160838081925,1.0,6169,True,kemmeren
YMR191W,-2.841719732659243,1.0,6169,True,kemmeren
YHL022C,-0.8734896142017922,3.0,6169,True,kemmeren
YHR152W,-2.5019416368759795,1.0,6169,True,kemmeren
YLR113W,-3.232418702493227,1.0,6169,True,kemmeren
YMR075W,-3.0453494541433463,1.0,6169,True,kemmeren
YHR014W,-0.05756104629749746,1160.0,6169,True,kemmeren
YIL073C,0.07322100017647165,4123.0,6169,True,kemmeren
YNL204C,-1.3918967598652883,2.0,6169,True,kemmeren
YOR313C,-0.9284644362691188,3.0,6169,True,kemmeren
YNL224C,-1.4282061477621208,2.0,6169,True,kemmeren
YML034W,-4.100328343815909,1.0,6169,True,kemmeren
YKR091W,-1.5190829486062742,2.0,6169,True,kemmeren
YPL033C,-0.0392632439089145,2083.0,6169,True,kemmeren
YKL086W,-0.8618941944806873,4.0,6169,True,kemmeren
YNL209W,-0.5754279556945845,24.0,6169,True,kemmeren
YOR279C,-2.0166995397135,2.0,6169,True,kemmeren
YDR293C,-2.255054411034568,1.0,6169,True,kemmeren
YDR312W,-1.156357409581593,2.0,6169,True,kemmeren
YDR169C,-1.743228947031635,2.0,6169,True,kemmeren
YKL072W,-2.467361604301139,1.0,6169,True,kemmeren
YLR389C,-3.513693905481511,1.0,6169,True,kemmeren
YOR027W,-5.001828195931276,1.0,6169,True,kemmeren
YDL048C,-2.6184974124250617,1.0,6169,True,kemmeren
YGL162W,-3.062925494820947,1.0,6169,True,kemmeren
